Listing URL,Name of Activity,Date,Location,Event Synopsis,Event Description,Registration Link,Activity Category
https://www.wateraid.org//uk/get-involved/teaching-resources/wordsearch,Wordsearch,NA,NA,Use this wordsearch to encourage word recognition and recap vocabulary relevant to WaterAid.,"With thanks to Dave Padfield, long-term volunteer and former teacher, for creating this resource. Download wordsearch sheet (PDF) Download wordsearch sheet with answers (PDF) ",NA,teaching resources
https://www.wateraid.org//uk/get-involved/events/swim-serpentine,Swim Serpentine,14 September 2024,"Hyde Park, London",Enjoy a late summer swim in the beautiful surrounds of Hyde Park's Serpentine.,"Take in the views with a leisurely half mile or push yourself to complete the Super Six: whichever you choose, by joining Team WaterAid, you'll be helping to bring the joy of clean water to people around the world. ",NA,events
https://www.wateraid.org//uk/get-involved/fundraising/stream-for-water,Stream for Water,NA,NA,"Unite with gamers and streamers to help bring clean water, decent toilets and good hygiene to everyone, everywhere.","Whether you stream on Twitch, YouTube or any other live platform, join us to help raise money for our life-changing water, sanitation and hygiene work around the world. ",NA,fundraising
https://www.wateraid.org//uk/get-involved/teaching-resources/ks3/climate-change-impacts,KS3: Climate change impacts,NA,NA,"This lesson introduces the impacts of climate change, what they mean for our planet, and how they might change over time.","By the end of this lesson, pupils will be able to:appraise and organise the different impacts of climate change,
construct a chain of impacts of climate change.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/events/london-landmarks-half-marathon,London Landmarks Half Marathon,6 April 2025,"Pall Mall, London","Celebrate the very best of the capital – past and present – on this unique half marathon, the only one to cross both the City of London and the City of Westminster.","Expect a wonderfully celebratory atmosphere, plenty of quirky discoveries and surprises, and – of course! – the unique opportunity to run past London's most iconic landmarks on closed roads. Run for WaterAid and when you cross the finish line, you won't just be achieving your own goal: you'll be helping others reach theirs too, thanks to the life-changing power of clean water, decent toilets and good hygiene. Register to join our LLHM 2025 team ",https://endurancecui.active.com/event-reg/select-race?e=90357212,events
https://www.wateraid.org//uk/get-involved/events/dragon-boat-race,Dragon Boat Race,Thursday 11 July 2024,"South Dock, Canary Wharf","Get a team together and join us as we take over Canary Wharf’s South Dock for the third year of a fun filled, fast paced day on the water!","Based on a Chinese tradition dating back over 2,000 years, dragon boat racing is one of the fastest-growing and most popular corporate sports in the UK today.Suitable for all ages and skill levels, you don’t need any previous experience to join us: our expert partners, Dragon Boat Events, provide full training and all equipment – so all you need to bring is your team and a boatload of enthusiasm!Register a team for 2024",https://register.wateraid.org/ps/event/WaterAidDragonBoatRace2024,events
https://www.wateraid.org//uk/get-involved/teaching-resources/ks3/managing-water-climate-change,KS3: Managing water and climate change,NA,NA,"This lesson explores the impacts of climate change on people’s access to water, and introduces different ways of managing these impacts.","By the end of this lesson, pupils will be able to:investigate the best methods for solving water access issues,
select and defend the best solution to solve a water access problem.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/events/the-severn-trent-mountain-challenge,The Severn Trent Mountain Challenge,NA,NA,"Challenge yourself to trek 10, 20 or 30 miles through the challenging terrain and glorious views of the Peak District.","Setting off from Tittesworth Reservoir Visitor Centre, you'll self-navigate across the edge of the Peak District, flexing your map-reading and orienteering skills along the way.Take on some exhilarating inclines – and enjoy spectacular views from the top! – before descending back to the reservoir for refreshments and hot food.All funds raised will go towards our work to bring clean water, decent toilets and good hygiene to communities in Bangladesh, supported by the Severn Trent WaterAid committee.",NA,events
https://www.wateraid.org//uk/get-involved/teaching/soap-experiment,Soap experiment,NA,NA,"Learn how soap works to keep us safe, with this simple interactive experiment!","Washing our hands is vital to stop the spread of diseases like flu and COVID-19. But did you know that almost 2 billion people in the world don't have the soap and/or water they need to wash their hands at home? This experiment is a great way to get young people talking about handwashing, as well as introducing them to the science behind it through fun, practical learning. Download the experiment activity sheet (PDF) Download the supporting activity guide (PDF) ",NA,teaching
https://www.wateraid.org//uk/get-involved/events/london-to-brighton-bike-ride,London to Brighton Bike Ride,16 June 2024,"Clapham Common, London to Brighton beachfront",Join the ride of your life on this iconic city to coast challenge – and help us reach the 1 in 10 people worldwide who still don't have access to clean water.,"Perfect if you're new to cycling or a regular weekend rider, London to Brighton is an iconic route, taking you out of the city, through the countryside, to the south coast. There's support along the way and a beachside event village at the finish line, ready for you to put your feet up for a well-earned rest! Register directly with the London to Brighton Bike Ride organisers, and fundraise as much as you can for WaterAid.  ",NA,events
https://www.wateraid.org//uk/get-involved/teaching-resources/ks4/climate-change-evidence,KS4: Evidence of climate change,NA,NA,"This lesson introduces scientific methods for measuring climate change, and asks students to analyse different sources of information..","By the end of this lesson, pupils will be able to:compare different ways of managing climate change,
select the most appropriate management techniques.",NA,teaching resources
https://www.wateraid.org//uk/get-involved/events/edinburgh-marathon-festival,Edinburgh Marathon Festival,24 May 2025 - 25 May 2025,"Edinburgh, Scotland",Take in stunning views and iconic landmarks as you represent WaterAid at Scotland's biggest running event.,"Fast, flat routes combined with striking surrounds make Edinburgh perfect for runners of all abilities – and come with genuine PB potential! ",NA,events
https://www.wateraid.org//uk/get-involved/teaching-resources/ks4/climate-change-impacts,KS4: Climate change impacts,NA,NA,"This lesson introduces the impacts of climate change, and asks what they will mean for society and the environment.","By the end of this lesson, pupils will be able to:appraise and organise the different impacts of climate change,
construct a chain of impacts of climate change.",NA,teaching resources
